iter	Passed	Remaining
0	59	59700
1	60	30038
2	60	20135
3	60	15183
4	61	12210
5	61	10228
6	62	8808
7	62	7747
8	62	6919
9	63	6258
10	63	5718
11	63	5268
12	64	4887
13	64	4561
14	65	4278
15	65	4028
16	65	3808
17	66	3613
18	66	3438
19	66	3282
20	67	3141
21	67	3013
22	68	2901
23	68	2792
24	69	2694
25	69	2602
26	69	2516
27	70	2437
28	70	2363
29	70	2294
30	71	2232
31	71	2173
32	72	2116
33	72	2062
34	72	2012
35	73	1964
36	73	1922
37	74	1879
38	74	1837
39	75	1801
40	75	1766
41	75	1733
42	76	1699
43	76	1667
44	77	1638
45	77	1609
46	77	1581
47	78	1553
48	78	1528
49	79	1502
50	79	1479
51	79	1457
52	80	1434
53	80	1413
54	81	1392
55	81	1372
56	81	1353
57	82	1335
58	82	1318
59	83	1300
60	83	1284
61	83	1269
62	84	1253
63	84	1238
64	85	1223
65	85	1209
66	85	1195
67	85	1178
68	86	1165
69	86	1152
70	87	1140
71	87	1127
72	87	1115
73	88	1104
74	88	1092
75	89	1082
76	89	1072
77	89	1061
78	90	1051
79	90	1043
80	91	1034
81	91	1024
82	91	1015
83	92	1006
84	92	994
85	92	986
86	93	976
87	93	969
88	93	961
89	94	953
90	94	946
91	95	938
92	95	931
93	95	924
94	96	917
95	96	910
96	97	903
97	97	896
98	97	889
99	98	883
100	98	876
101	98	868
102	99	862
103	99	856
104	99	850
105	100	845
106	100	839
107	101	834
108	101	829
109	101	823
110	102	818
111	102	813
112	102	807
113	103	803
114	103	798
115	104	793
116	104	788
117	104	783
118	105	777
119	105	773
120	105	768
121	106	764
122	106	758
123	106	753
124	107	749
125	107	745
126	107	740
127	107	735
128	108	731
129	108	727
130	109	723
131	109	719
132	109	715
133	110	712
134	110	708
135	110	704
136	111	701
137	111	696
138	111	693
139	112	689
140	112	686
141	113	683
142	113	679
143	113	676
144	114	672
145	114	669
146	114	666
147	115	664
148	115	660
149	116	657
150	116	654
151	116	651
152	117	648
153	117	646
154	118	643
155	118	640
156	118	637
157	119	635
158	119	633
159	120	630
160	120	627
161	120	625
162	121	622
163	121	619
164	121	616
165	122	614
166	122	611
167	123	609
168	123	606
169	123	604
170	124	602
171	124	600
172	125	598
173	125	595
174	125	593
175	126	591
176	126	589
177	127	587
178	127	585
179	127	582
180	128	579
181	128	577
182	128	574
183	129	572
184	129	570
185	129	568
186	130	566
187	130	564
188	131	562
189	131	560
190	131	558
191	132	556
192	132	554
193	133	552
194	133	550
195	133	549
196	134	547
197	134	545
198	135	543
199	135	541
200	135	539
201	136	538
202	136	536
203	137	535
204	137	533
205	137	531
206	138	529
207	138	527
208	139	526
209	139	524
