iter	Passed	Remaining
0	55	55908
1	56	28135
2	56	18858
3	57	14220
4	57	11442
5	58	9610
6	58	8289
7	58	7304
8	59	6537
9	60	5943
10	60	5442
11	61	5036
12	61	4680
13	62	4376
14	62	4108
15	62	3872
16	63	3663
17	63	3477
18	64	3312
19	64	3163
20	64	3027
21	65	2906
22	65	2795
23	66	2691
24	66	2597
25	66	2508
26	67	2426
27	67	2352
28	68	2282
29	68	2216
30	68	2153
31	69	2094
32	69	2039
33	69	1988
34	70	1940
35	70	1894
36	71	1850
37	71	1811
38	71	1772
39	72	1737
40	72	1701
41	73	1667
42	73	1638
43	74	1612
44	74	1583
45	75	1559
46	75	1534
47	76	1509
48	76	1485
49	76	1461
50	77	1437
51	77	1414
52	77	1392
53	78	1372
54	78	1352
55	79	1334
56	79	1315
57	79	1297
58	80	1279
59	80	1262
60	80	1246
61	81	1230
62	81	1215
63	82	1200
64	82	1186
65	82	1172
66	83	1159
67	83	1145
68	83	1132
69	84	1120
70	84	1108
71	85	1096
72	85	1086
73	85	1075
74	86	1064
75	86	1053
76	86	1042
77	87	1033
78	87	1024
79	88	1014
80	88	1006
81	89	1001
82	89	989
83	90	982
84	90	975
85	91	967
86	91	958
87	91	950
88	92	942
89	92	935
90	92	928
91	93	920
92	93	913
93	94	907
94	94	900
95	94	893
96	95	886
97	95	879
98	95	873
99	96	866
100	96	860
101	97	854
102	97	848
103	97	842
104	98	837
105	98	832
106	99	826
107	99	820
108	99	815
109	100	809
110	100	805
111	100	800
112	101	794
113	101	790
114	102	785
115	102	780
116	102	774
117	102	769
118	103	764
119	103	761
120	104	756
121	104	751
122	104	748
123	105	744
124	105	741
125	106	737
126	106	732
127	106	728
128	107	724
129	107	720
130	108	716
131	108	712
132	108	708
133	109	705
134	109	701
135	109	697
136	110	693
137	110	690
138	110	686
139	111	682
140	111	679
141	111	675
142	112	672
143	112	668
144	112	665
145	113	662
146	113	659
147	114	656
148	114	653
149	114	650
150	115	647
151	115	644
152	115	641
153	116	638
154	116	635
155	117	633
156	117	630
157	117	627
158	118	624
159	118	622
160	118	619
161	119	617
162	119	614
163	120	615
164	121	612
165	121	610
166	121	607
167	122	604
168	122	602
169	122	600
170	123	597
171	123	595
172	124	592
173	124	590
174	124	588
175	125	585
176	125	583
177	125	581
178	126	578
179	126	576
180	127	574
181	127	573
182	127	570
183	128	568
184	128	566
185	128	564
186	129	562
187	129	559
188	129	557
189	130	555
190	130	553
191	131	551
192	131	549
193	131	547
194	132	545
195	132	543
196	132	541
197	133	539
198	133	538
199	134	536
200	134	535
201	135	533
202	135	532
203	136	531
204	136	529
205	136	527
206	137	526
207	137	524
208	138	522
209	138	520
210	138	518
211	139	517
212	139	515
213	140	514
214	140	512
215	140	510
216	141	509
217	141	507
218	141	506
219	142	504
220	142	503
221	143	501
222	143	500
223	144	499
224	144	497
225	144	495
226	145	494
227	145	493
228	145	491
229	146	489
230	146	488
231	146	486
232	147	485
233	147	483
234	148	481
235	148	480
236	148	479
237	149	478
238	150	478
239	150	477
240	151	476
241	151	475
242	152	473
243	152	472
244	152	471
245	153	469
246	153	468
247	154	467
248	154	465
249	154	464
250	155	463
251	155	461
252	155	460
253	156	459
254	156	457
255	157	456
256	157	455
257	157	454
258	158	452
259	158	451
260	158	450
261	159	448
262	159	447
263	160	446
264	160	444
265	160	443
266	161	442
267	161	441
268	161	439
269	162	438
270	162	437
271	163	436
272	163	435
273	164	434
274	164	433
275	164	432
276	165	431
277	165	430
278	166	429
279	166	428
280	166	427
281	167	426
282	167	424
283	168	423
284	168	422
285	168	421
286	169	420
287	169	419
288	169	418
289	170	416
290	170	415
291	171	414
292	171	413
293	171	412
294	172	411
295	172	410
296	173	409
297	173	408
298	173	407
299	174	406
300	174	405
301	175	404
302	175	403
303	175	402
304	176	401
305	176	400
306	176	399
307	177	398
308	177	397
309	177	396
310	178	395
311	178	394
312	179	393
313	179	393
314	180	392
315	180	391
316	181	390
317	181	389
318	181	388
319	182	387
320	182	386
321	183	385
322	183	384
323	183	383
324	184	382
325	184	381
326	184	380
327	185	379
328	185	378
329	186	377
330	186	376
331	186	375
332	187	374
333	187	373
334	187	372
335	188	371
336	188	371
337	189	370
338	189	369
339	189	368
340	190	367
341	190	366
342	190	365
343	191	364
344	191	363
345	192	362
346	192	362
347	192	361
348	193	360
349	193	359
350	193	358
351	194	357
352	194	357
353	195	356
354	195	355
355	195	354
356	196	353
357	196	352
358	197	352
359	197	351
360	197	350
361	198	349
362	198	348
363	199	347
364	199	346
365	199	346
366	200	345
367	200	344
368	201	343
369	201	342
370	201	342
371	202	341
372	202	340
373	202	339
374	203	338
375	203	337
376	203	336
377	204	336
378	204	335
379	205	334
380	205	334
381	206	333
382	206	332
383	206	331
384	207	330
385	207	330
386	207	329
387	208	328
388	208	327
389	209	326
390	209	326
391	209	325
392	210	324
393	210	323
394	210	322
395	211	321
396	211	321
397	211	320
398	212	319
399	212	318
400	212	318
401	213	317
402	213	316
403	214	315
404	214	315
405	214	314
406	215	313
407	215	312
408	215	311
409	216	310
410	216	310
411	216	309
412	217	308
413	217	307
414	217	307
415	218	306
416	218	305
417	219	305
418	219	304
419	219	303
420	220	303
421	220	302
422	221	301
423	221	300
424	221	299
425	222	299
426	222	298
427	222	297
428	223	297
429	223	296
430	224	296
431	224	295
432	225	294
433	225	294
434	226	293
435	226	293
436	226	292
437	227	291
438	227	290
439	228	290
440	228	289
441	228	288
442	229	288
443	229	287
444	230	287
445	230	286
446	230	285
447	231	285
448	231	284
449	232	283
450	232	282
451	232	282
452	233	281
453	233	280
454	233	280
455	234	279
456	234	278
457	235	278
458	235	277
459	235	276
460	236	276
461	236	275
462	237	274
463	237	274
464	237	273
465	238	272
466	238	272
467	238	271
468	239	270
469	239	270
470	240	269
471	240	269
472	241	268
473	241	268
474	241	267
475	242	266
476	242	266
477	243	265
478	243	265
479	244	264
480	244	263
481	244	263
482	245	262
483	245	261
484	245	261
485	246	260
486	246	259
487	246	258
488	247	258
489	247	257
490	247	256
491	248	256
492	248	255
493	248	255
494	249	254
495	249	253
496	250	253
497	250	252
498	251	252
499	251	251
500	251	250
501	252	250
502	252	249
503	253	249
504	253	248
505	254	248
506	254	247
507	255	246
508	255	246
509	255	245
510	256	245
511	256	244
512	256	243
513	257	243
514	257	242
515	257	241
516	258	241
517	258	240
518	259	240
519	259	239
520	259	238
521	260	238
522	260	237
523	260	236
524	261	236
525	261	235
526	261	235
527	262	234
528	262	233
529	263	233
530	263	232
531	263	231
532	264	231
533	264	230
534	264	230
535	265	229
536	265	228
537	265	228
538	266	227
539	266	227
540	267	226
541	267	226
542	267	225
543	268	225
544	269	224
545	269	224
546	270	223
547	270	223
548	270	222
549	271	222
550	271	221
551	272	220
552	272	220
553	272	219
554	273	219
555	273	218
556	274	218
557	274	217
558	275	217
559	275	216
560	275	215
561	276	215
562	276	214
563	276	214
564	277	213
565	277	213
566	278	212
567	278	211
568	279	211
569	279	210
570	279	210
571	280	209
572	280	209
573	281	208
574	281	208
575	281	207
576	282	206
577	282	206
578	283	205
579	283	205
580	284	204
581	284	204
582	284	203
583	285	203
584	285	202
585	286	202
586	286	201
587	287	201
588	287	200
589	287	199
590	288	199
591	288	198
592	288	198
593	289	197
594	289	197
595	290	196
596	290	196
597	291	195
598	291	195
599	291	194
600	292	194
601	292	193
602	293	192
603	293	192
604	293	191
605	294	191
606	294	190
607	295	190
608	295	189
609	295	189
610	296	188
611	296	188
612	297	187
613	297	187
614	298	186
615	298	186
616	299	185
617	299	185
618	299	184
619	300	183
620	300	183
621	300	182
